code,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,5G connectivity,Gigabit connectivity,GFCF per job,ICT per job,Intangibles per job
TLH61,40.31,,0.08872352604464796,,0.3376675627240143,0.7101344086021505,0.2297330922130514,0.547324436859064,0.5992018412689752,0.6189733082592739,,,
TLH62,42.52,0.11791497975708502,0.13283442469597756,,0.47900000000000004,0.88,0.402,0.6392687511658942,0.9984999999999999,0.961,,,
TLH63,38.33,0.11949339207048458,0.08417687799680341,0.07100000000000001,0.311,0.801,0.25400000000000006,0.546742209631728,0.4498,0.791,,,
TLH64,35.65,0.1539929536112742,0.11844660194174757,0.106,0.39299999999999996,0.834,0.29799999999999993,0.5621751772249184,0.5358999999999999,0.706,,,
TLI33,48.45,0.3128359094110234,0.11269383339343671,,0.7139202242345839,0.7232220784821044,0.12928689658610765,0.6950688774592669,1.0,0.9081966940527031,17196.259911329194,527.197101552868,4345.552645573062
TLI34,35.39,0.1342158662672722,0.11782032400589101,,0.776,0.879,0.10600000000000002,0.7117083413786445,0.9992,0.8759999999999999,15745.827123033736,234.06562463754892,2082.6152747664532
TLI35,71.21,0.621804153217854,0.10397305557288093,,,,,,1.0,0.8615522752914629,,,
TLI36,59.44,0.3771217002452277,0.1352711715112621,0.054,0.73,0.7459999999999999,0.14199999999999996,0.8293232776376962,0.9998999999999999,0.9590000000000001,,,
TLI41,37.41,0.43392061310341956,0.15490437311262722,,0.5733776932826362,0.7924315589353612,0.16797156098588578,0.7564306189820303,1.0,0.9093996539142969,15135.56432717079,360.15959860567915,3143.523946756563
TLI42,72.96,0.4964053702901689,0.14028002154011848,,0.5479999999999999,0.711,0.2849999999999999,0.7418767839428408,1.0,0.858,20708.122216222022,272.095972356993,3638.1139163837206
